input_path,output_path,status,original_sample_rate,original_channels,original_frames,output_sample_rate,output_channels,output_frames,original_duration_seconds,output_duration_seconds,error
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1252.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1252.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1253.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1253.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1254.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1254.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1255.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1255.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1256.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1256.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1257.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1257.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1258.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1258.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1259.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1259.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1260.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1260.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1261.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1261.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1262.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1262.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
/Users/tavantai/Developer/project_thesis_code/new_data/1/train-00032-of-00803_1263.wav,/Users/tavantai/Developer/project_thesis_code/processed/E0/1/train-00032-of-00803_1263.wav,processed,16000,1,48000,16000,1,48000,3.0,3.0,
